CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month
2012,10,38260000,16,741,SP,1,817800,45,45,1101,BIOMASS BASED DIESEL,SGP,Singapore,0.045,2012,10
2013,8,38260000,16,245,RS,1,917800,8000000,8000000,7840000,BIOMASS BASED DIESEL,ESP,Spain,8000.0,2013,8
2013,6,38260000,16,573,RS,1,1017700,19420,19420,15503,BIOMASS BASED DIESEL,NLD,Netherlands,19.42,2013,6
2013,10,38260000,16,245,RS,1,917800,5150,5150000,4956875,BIOMASS BASED DIESEL,ESP,Spain,5150.0,2013,10
2013,10,38260000,16,573,RS,1,917800,7266,6999144,6419600,BIOMASS BASED DIESEL,NLD,Netherlands,6999.144,2013,10
2013,11,38260000,16,087,RS,1,917800,3991,3990755,3769171,BIOMASS BASED DIESEL,BEL,Belgium,3990.755,2013,11
2013,11,38260000,16,245,RS,1,917800,10180,10180227,9774025,BIOMASS BASED DIESEL,ESP,Spain,10180.227,2013,11
2014,3,38260000,16,245,RS,1,917800,13165,13164940,12506693,BIOMASS BASED DIESEL,ESP,Spain,13164.94,2014,3
2014,8,38260000,16,573,SP,1,917800,6886,6020638,4898391,BIOMASS BASED DIESEL,NLD,Netherlands,6020.638,2014,8
2014,5,38260000,16,249,ZN,4,817700,500,385,18025,BIOMASS BASED DIESEL,USA,United States,0.385,2014,5
2014,11,38260000,16,399,MT,4,817700,0,27,41,BIOMASS BASED DIESEL,JPN,Japan,0.027,2014,11
2014,12,38260000,16,249,SP,1,817800,9,8794,48428,BIOMASS BASED DIESEL,USA,United States,8.794,2014,12
2014,6,38260000,16,573,SP,1,917800,6910,6047702,6530309,BIOMASS BASED DIESEL,NLD,Netherlands,6047.702,2014,6
2014,4,38260000,16,399,MT,4,817700,0,44,7067,BIOMASS BASED DIESEL,JPN,Japan,0.044,2014,4
2014,6,38260000,16,293,RS,1,917800,10025,10024518,9974430,BIOMASS BASED DIESEL,GIB,Gibraltar,10024.518,2014,6
2015,12,38260000,16,573,SP,1,917800,11808,10337666,7613381,BIOMASS BASED DIESEL,NLD,Netherlands,10337.666,2015,12
2015,7,38260000,16,249,SP,1,817800,21,20520,64375,BIOMASS BASED DIESEL,USA,United States,20.52,2015,7
2015,7,38260000,16,249,SP,4,817600,3,1466,5407,BIOMASS BASED DIESEL,USA,United States,1.466,2015,7
2016,8,38260000,16,399,MT,4,817600,0,80,4000,BIOMASS BASED DIESEL,JPN,Japan,0.08,2016,8
2016,12,38260000,16,399,MT,4,817600,0,50,4000,BIOMASS BASED DIESEL,JPN,Japan,0.05,2016,12
2016,2,38260000,16,455,RS,4,817600,0,4,20,BIOMASS BASED DIESEL,MYS,Malaysia,0.004,2016,2
