CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month,date
2010,11,10059010,10,059,GO,1,727600,6832,6832295,1134161,CORN,DZA,Algeria,6832.295,2010,11,2010-11-01
2010,10,10059010,10,190,MT,1,917800,6442844,9442844,1882258,CORN,KOR,South Korea,9442.844,2010,10,2010-10-01
2010,10,10059010,10,244,MS,1,917800,7035640,7035640,1737803,CORN,ARE,United Arab Emirates,7035.64,2010,10,2010-10-01
2010,8,10059010,10,244,MT,1,917800,8409408,17807930,3181909,CORN,ARE,United Arab Emirates,17807.93,2010,8,2010-08-01
2010,10,10059010,10,169,MS,1,917800,83675315,83675315,16121185,CORN,COL,Colombia,83675.315,2010,10,2010-10-01
2010,11,10059010,10,589,PR,1,917800,40079212,40079212,8914438,CORN,PER,Peru,40079.212,2010,11,2010-11-01
2010,12,10059010,10,053,MT,1,817800,5183641,188642390,44958865,CORN,SAU,Saudi Arabia,188642.39,2010,12,2010-12-01
2010,10,10059010,10,586,SP,7,145300,18,110,230,CORN,PRY,Paraguay,0.11,2010,10,2010-10-01
2010,12,10059010,10,331,MG,1,817800,0,200,519,CORN,GNQ,Equatorial Guinea,0.2,2010,12,2010-12-01
2010,12,10059010,10,474,MG,1,727600,7603,7602570,1832617,CORN,MAR,Morocco,7602.57,2010,12,2010-12-01
2010,10,10059010,10,455,MT,1,917800,2326096,2326096,401315,CORN,MYS,Malaysia,2326.096,2010,10,2010-10-01
2010,3,10059090,10,249,ND,1,817800,850,1530,9173,CORN,USA,United States,1.53,2010,3,2010-03-01
2010,12,10059010,10,097,ZN,4,130151,448500,448500,65943,CORN,BOL,Bolivia,448.5,2010,12,2010-12-01
2010,5,10059010,10,399,RS,1,817800,0,1200,1416,CORN,JPN,Japan,1.2,2010,5,2010-05-01
2010,10,10059010,10,573,MT,1,727600,2691,2691045,541664,CORN,NLD,Netherlands,2691.045,2010,10,2010-10-01
2010,11,10059010,10,240,DF,1,727600,1765,1765000,321230,CORN,EGY,Egypt,1765.0,2010,11,2010-11-01
2010,1,10059010,10,372,MG,1,817800,1,1000,180,CORN,IRN,Iran,1.0,2010,1,2010-01-01
2010,11,10059010,10,474,MS,1,927700,18049,18049755,3447503,CORN,MAR,Morocco,18049.755,2010,11,2010-11-01
2010,12,10059010,10,097,MT,9,250151,1020,51000,14390,CORN,BOL,Bolivia,51.0,2010,12,2010-12-01
2010,12,10059010,10,169,MS,1,927700,29241,29240260,6874385,CORN,COL,Colombia,29240.26,2010,12,2010-12-01
2010,6,10059010,10,127,RS,1,817800,0,1320,1635,CORN,CPV,Cape Verde,1.32,2010,6,2010-06-01
2010,12,10059010,10,053,MS,1,917800,4000000,4000000,992000,CORN,SAU,Saudi Arabia,4000.0,2010,12,2010-12-01
2010,11,10059010,10,372,MG,1,727600,30452,30452533,5511910,CORN,IRN,Iran,30452.533,2010,11,2010-11-01
2010,11,10059010,10,040,MT,1,817800,10938,10937925,2515722,CORN,AGO,Angola,10937.925,2010,11,2010-11-01
2010,8,10059010,10,245,MT,1,917800,69164185,69164185,13086350,CORN,ESP,Spain,69164.185,2010,8,2010-08-01
2010,8,10059010,10,589,MT,7,230154,0,286870,61390,CORN,PER,Peru,286.87,2010,8,2010-08-01
2010,3,10059010,10,477,RS,1,1017700,0,4224,1656,CORN,MTQ,Martinique,4.224,2010,3,2010-03-01
2010,11,10059010,10,474,MT,1,917800,7587125,7587125,1556409,CORN,MAR,Morocco,7587.125,2010,11,2010-11-01
2010,1,10059010,10,372,SP,1,817800,1444,1443729,259871,CORN,IRN,Iran,1443.729,2010,1,2010-01-01
2010,8,10059010,10,845,RS,9,1010955,0,18,22,CORN,URY,Uruguay,0.018,2010,8,2010-08-01
2010,8,10059010,10,249,RS,1,817800,0,600,678,CORN,USA,United States,0.6,2010,8,2010-08-01
2010,11,10059010,10,169,MT,1,917800,0,3000000,735000,CORN,COL,Colombia,3000.0,2010,11,2010-11-01
2010,3,10059090,10,386,RS,1,817800,0,43,153,CORN,ITA,Italy,0.043,2010,3,2010-03-01
2010,9,10059010,10,438,PR,1,917800,17482295,19482295,3447331,CORN,LBY,Libya,19482.295,2010,9,2010-09-01
2010,10,10059090,10,845,RS,7,1010252,12000,12000,2500,CORN,URY,Uruguay,12.0,2010,10,2010-10-01
2010,9,10059010,10,474,PR,1,917800,73557418,78557418,13663279,CORN,MAR,Morocco,78557.418,2010,9,2010-09-01
2010,9,10059010,10,573,MT,1,817800,6740574,106214112,20476566,CORN,NLD,Netherlands,106214.112,2010,9,2010-09-01
2010,9,10059010,10,097,ZN,4,145200,164710,164710,29889,CORN,BOL,Bolivia,164.71,2010,9,2010-09-01
2010,2,10059010,10,455,MT,1,727600,65894,65892695,11710921,CORN,MYS,Malaysia,65892.695,2010,2,2010-02-01
2010,9,10059010,10,386,PR,1,917800,4500634,4500634,890960,CORN,ITA,Italy,4500.634,2010,9,2010-09-01
2010,9,10059010,10,474,GO,1,917800,1726240,1726240,276198,CORN,MAR,Morocco,1726.24,2010,9,2010-09-01
2010,4,10059010,10,589,MT,7,230154,0,110960,23372,CORN,PER,Peru,110.96,2010,4,2010-04-01
2010,4,10059010,10,586,PR,7,910600,0,13405,12648,CORN,PRY,Paraguay,13.405,2010,4,2010-04-01
2010,11,10059010,10,161,MT,1,817800,192890,192889699,42217021,CORN,TWN,Taiwan,192889.699,2010,11,2010-11-01
2010,12,10059010,10,607,MT,1,817800,54280,54280000,13198897,CORN,PRT,Portugal,54280.0,2010,12,2010-12-01
2010,11,10059010,10,239,PR,1,917800,23036526,23036526,5413584,CORN,ECU,Ecuador,23036.526,2010,11,2010-11-01
2010,1,10059010,10,589,MT,7,230154,209780,209780,44279,CORN,PER,Peru,209.78,2010,1,2010-01-01
2010,1,10059010,10,455,MT,1,817800,33937,33936664,5092077,CORN,MYS,Malaysia,33936.664,2010,1,2010-01-01
2010,11,10059010,10,059,MT,1,917800,19398689,19398689,4579625,CORN,DZA,Algeria,19398.689,2010,11,2010-11-01
2010,1,10059010,10,399,MT,1,817800,89925,89924300,15473618,CORN,JPN,Japan,89924.3,2010,1,2010-01-01
2010,12,10059010,10,245,MT,1,817800,67398,67397760,13626706,CORN,ESP,Spain,67397.76,2010,12,2010-12-01
2010,5,10059010,10,127,PR,1,817800,0,960,1188,CORN,CPV,Cape Verde,0.96,2010,5,2010-05-01
2010,11,10059010,10,053,GO,1,817800,24057,24056342,4987289,CORN,SAU,Saudi Arabia,24056.342,2010,11,2010-11-01
2010,11,10059010,10,372,GO,1,817800,15052,15051786,3146281,CORN,IRN,Iran,15051.786,2010,11,2010-11-01
2010,8,10059010,10,372,GO,1,817800,36351,36350656,6414975,CORN,IRN,Iran,36350.656,2010,8,2010-08-01
2010,12,10059010,10,455,PR,1,917800,18958216,18958216,4929136,CORN,MYS,Malaysia,18958.216,2010,12,2010-12-01
2010,10,10059010,10,244,MT,1,917800,238500,238500,58910,CORN,ARE,United Arab Emirates,238.5,2010,10,2010-10-01
2010,8,10059010,10,820,MS,1,917800,2675350,2675350,478888,CORN,TUN,Tunisia,2675.35,2010,8,2010-08-01
2010,3,10059090,10,149,RS,1,817800,0,132,533,CORN,CAN,Canada,0.132,2010,3,2010-03-01
2010,12,10059010,10,383,MT,1,817800,44211,44211120,9991713,CORN,ISR,Israel,44211.12,2010,12,2010-12-01
2010,12,10059010,10,169,PR,1,927700,1948,1948110,458001,CORN,COL,Colombia,1948.11,2010,12,2010-12-01
2010,3,10059090,10,399,PR,1,817800,0,1224,3519,CORN,JPN,Japan,1.224,2010,3,2010-03-01
2010,7,10059010,10,331,MG,1,817800,0,80,36,CORN,GNQ,Equatorial Guinea,0.08,2010,7,2010-07-01
2010,11,10059010,10,097,ZN,4,130151,225000,225000,35250,CORN,BOL,Bolivia,225.0,2010,11,2010-11-01
2010,10,10059010,10,589,MT,7,230154,0,578250,123746,CORN,PER,Peru,578.25,2010,10,2010-10-01
2010,9,10059010,10,365,MT,1,817800,5059291,64290825,10966874,CORN,IDN,Indonesia,64290.825,2010,9,2010-09-01
2010,9,10059010,10,199,MT,1,817800,23406,23405605,4379436,CORN,CUB,Cuba,23405.605,2010,9,2010-09-01
2010,9,10059010,10,169,MT,1,727600,14970,14969530,2544821,CORN,COL,Colombia,14969.53,2010,9,2010-09-01
2010,9,10059010,10,160,PR,1,917800,5000000,5000000,844999,CORN,CHN,China,5000.0,2010,9,2010-09-01
2010,9,10059010,10,169,MT,1,917800,15188276,15188276,2867096,CORN,COL,Colombia,15188.276,2010,9,2010-09-01
2010,4,10059090,10,249,RS,1,817800,0,600,708,CORN,USA,United States,0.6,2010,4,2010-04-01
2010,9,10059010,10,372,MS,1,917800,341090,341090,62761,CORN,IRN,Iran,341.09,2010,9,2010-09-01
2010,2,10059010,10,455,GO,1,817800,1530,1529860,267726,CORN,MYS,Malaysia,1529.86,2010,2,2010-02-01
2010,9,10059010,10,455,PR,1,917800,10708539,10708539,2178087,CORN,MYS,Malaysia,10708.539,2010,9,2010-09-01
2010,2,10059010,10,573,MT,1,227600,10038,10037871,1861423,CORN,NLD,Netherlands,10037.871,2010,2,2010-02-01
2010,9,10059010,10,580,PR,1,917800,11144165,11144165,2451717,CORN,PAN,Panama,11144.165,2010,9,2010-09-01
