CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month,date
2010,10,22071000,17,586,SP,7,145300,1200,1360,1562,ETHANOL,PRY,Paraguay,1.36,2010,10,2010-10-01
2010,3,22071000,17,289,SP,1,817800,2422452,1951286,1674143,ETHANOL,GHA,Ghana,1951.286,2010,3,2010-03-01
2010,12,22071000,17,548,SP,1,817800,1199855,946565,755909,ETHANOL,NZL,New Zealand,946.565,2010,12,2010-12-01
2010,8,22071000,17,063,SP,7,1010900,98266,78620,63915,ETHANOL,ARG,Argentina,78.62,2010,8,2010-08-01
2010,7,22071000,17,580,SP,1,817800,72000,56880,52980,ETHANOL,PAN,Panama,56.88,2010,7,2010-07-01
2010,8,22071000,17,845,MS,7,1015600,66000,52140,33594,ETHANOL,URY,Uruguay,52.14,2010,8,2010-08-01
2010,12,22071000,17,399,SP,1,817800,20451777,16423122,13951184,ETHANOL,JPN,Japan,16423.122,2010,12,2010-12-01
2010,6,22071000,17,190,SP,1,817800,997912,806213,503946,ETHANOL,KOR,South Korea,806.213,2010,6,2010-06-01
2010,1,22071000,17,267,MG,1,817800,595348,470146,418619,ETHANOL,PHL,Philippines,470.146,2010,1,2010-01-01
2010,1,22071000,17,586,SP,9,145300,1512,1512,2535,ETHANOL,PRY,Paraguay,1.512,2010,1,2010-01-01
2010,11,22071000,17,023,SP,1,817800,2000,1555,6000,ETHANOL,DEU,Germany,1.555,2010,11,2010-11-01
2010,1,22071000,17,069,PR,1,917800,1606000,1298130,600644,ETHANOL,AUS,Australia,1298.13,2010,1,2010-01-01
2010,12,22071000,17,249,SP,1,817800,80405330,63466083,52513293,ETHANOL,USA,United States,63466.083,2010,12,2010-12-01
2010,6,22071000,17,069,MG,1,817800,1599938,1293869,716223,ETHANOL,AUS,Australia,1293.869,2010,6,2010-06-01
2010,5,22071000,17,767,SP,1,817800,3005713,2418697,1713256,ETHANOL,CHE,Switzerland,2418.697,2010,5,2010-05-01
2010,3,22071000,17,040,SP,1,817800,1503301,1210909,1038315,ETHANOL,AGO,Angola,1210.909,2010,3,2010-03-01
2010,10,22072020,17,845,RS,9,1010955,231,231,645,ETHANOL,URY,Uruguay,0.231,2010,10,2010-10-01
2010,7,22071000,17,040,SP,1,817800,196200,158334,186660,ETHANOL,AGO,Angola,158.334,2010,7,2010-07-01
2010,8,22072020,17,845,SC,9,1010955,22,22,60,ETHANOL,URY,Uruguay,0.022,2010,8,2010-08-01
2010,2,22071000,17,611,SP,1,817800,5007028,4070714,3584057,ETHANOL,PRI,Puerto Rico,4070.714,2010,2,2010-02-01
2010,2,22071000,17,158,SP,1,927700,75350,59530,63478,ETHANOL,CHL,Chile,59.53,2010,2,2010-02-01
2010,3,22071000,17,190,AL,1,440100,15199820,12291936,6444704,ETHANOL,KOR,South Korea,12291.936,2010,3,2010-03-01
2010,2,22071000,17,267,SP,1,817800,4611735,3641588,3565834,ETHANOL,PHL,Philippines,3641.588,2010,2,2010-02-01
2010,9,22071000,17,196,SP,4,615100,100,87,412,ETHANOL,CRI,Costa Rica,0.087,2010,9,2010-09-01
2010,4,22072020,17,023,SP,1,817800,3600,5274,7642,ETHANOL,DEU,Germany,5.274,2010,4,2010-04-01
2010,2,22072010,17,586,PR,9,145300,5,43,67,ETHANOL,PRY,Paraguay,0.043,2010,2,2010-02-01
2010,2,22072020,17,845,SC,9,1010955,121,121,327,ETHANOL,URY,Uruguay,0.121,2010,2,2010-02-01
2010,6,22071000,17,249,SP,1,817800,45384490,35880956,25071221,ETHANOL,USA,United States,35880.956,2010,6,2010-06-01
2010,11,22071000,17,063,SP,7,1010900,334981,274420,221158,ETHANOL,ARG,Argentina,274.42,2010,11,2010-11-01
2010,3,22071000,17,063,SP,1,817800,49400,40060,30628,ETHANOL,ARG,Argentina,40.06,2010,3,2010-03-01
2010,12,22071000,17,063,SP,7,1010900,565353,464670,407960,ETHANOL,ARG,Argentina,464.67,2010,12,2010-12-01
2010,1,22071000,17,391,SP,1,817800,15215962,12292975,5203859,ETHANOL,JAM,Jamaica,12292.975,2010,1,2010-01-01
2010,7,22071000,17,845,SC,9,1010955,6,6,13,ETHANOL,URY,Uruguay,0.006,2010,7,2010-07-01
2010,6,22071000,17,399,SP,1,817800,6915194,5576859,3072023,ETHANOL,JPN,Japan,5576.859,2010,6,2010-06-01
2010,7,22071000,17,190,MG,1,817800,13262417,10718190,5898266,ETHANOL,KOR,South Korea,10718.19,2010,7,2010-07-01
2010,5,22071000,17,249,SP,1,817800,93782,74570,72096,ETHANOL,USA,United States,74.57,2010,5,2010-05-01
2010,3,22072010,17,586,PR,7,145300,5,47,71,ETHANOL,PRY,Paraguay,0.047,2010,3,2010-03-01
2010,11,22071000,17,845,SC,7,1010253,330,330,462,ETHANOL,URY,Uruguay,0.33,2010,11,2010-11-01
2010,12,22072010,17,063,SP,7,1010900,32495,26210,19395,ETHANOL,ARG,Argentina,26.21,2010,12,2010-12-01
2010,9,22071000,17,249,SP,1,817800,5308830,4276567,2774707,ETHANOL,USA,United States,4276.567,2010,9,2010-09-01
2010,9,22071000,17,573,PR,1,917800,5100000,4122330,2474775,ETHANOL,NLD,Netherlands,4122.33,2010,9,2010-09-01
2010,4,22071000,17,845,RS,9,1010955,30,30,60,ETHANOL,URY,Uruguay,0.03,2010,4,2010-04-01
2010,10,22071000,17,573,PR,1,917800,7925551,6409394,4017828,ETHANOL,NLD,Netherlands,6409.394,2010,10,2010-10-01
2010,12,22071000,17,069,MG,1,817800,1561252,1260424,725811,ETHANOL,AUS,Australia,1260.424,2010,12,2010-12-01
2010,1,22071000,17,249,PE,1,417800,2957286,2332411,1599152,ETHANOL,USA,United States,2332.411,2010,1,2010-01-01
2010,1,22071000,17,190,SP,1,817800,2500000,2004599,1417871,ETHANOL,KOR,South Korea,2004.599,2010,1,2010-01-01
2010,1,22071000,17,399,SP,1,817800,5083353,4111496,2563267,ETHANOL,JPN,Japan,4111.496,2010,1,2010-01-01
2010,10,22072010,17,063,SP,7,1010900,248825,199805,133869,ETHANOL,ARG,Argentina,199.805,2010,10,2010-10-01
2010,7,22071000,17,573,SP,1,817800,13491499,10668655,7123311,ETHANOL,NLD,Netherlands,10668.655,2010,7,2010-07-01
2010,7,22071000,17,267,SP,1,817800,5041844,3979023,2585011,ETHANOL,PHL,Philippines,3979.023,2010,7,2010-07-01
2010,12,22071000,17,023,SP,1,817800,2000,1610,6000,ETHANOL,DEU,Germany,1.61,2010,12,2010-12-01
2010,6,22071000,17,845,RS,7,1010253,300,300,430,ETHANOL,URY,Uruguay,0.3,2010,6,2010-06-01
2010,7,22071000,17,845,SC,7,1010253,180,180,244,ETHANOL,URY,Uruguay,0.18,2010,7,2010-07-01
2010,7,22071000,17,741,SP,1,817800,4424343,3489479,2477632,ETHANOL,SGP,Singapore,3489.479,2010,7,2010-07-01
2010,8,22072020,17,647,RJ,4,717700,24,38,212,ETHANOL,DOM,Dominican Republic,0.038,2010,8,2010-08-01
2010,8,22071000,17,586,SP,9,145300,10260,10660,12401,ETHANOL,PRY,Paraguay,10.66,2010,8,2010-08-01
2010,8,22071000,17,589,SP,1,817800,24700,19908,37517,ETHANOL,PER,Peru,19.908,2010,8,2010-08-01
2010,6,22071000,17,063,SP,7,1010900,34000,26860,22025,ETHANOL,ARG,Argentina,26.86,2010,6,2010-06-01
2010,12,22071000,17,586,SP,7,145300,2810,2810,3570,ETHANOL,PRY,Paraguay,2.81,2010,12,2010-12-01
2010,9,22071000,17,628,SP,1,817800,10222682,8062629,5632782,ETHANOL,GBR,United Kingdom,8062.629,2010,9,2010-09-01
2010,8,22071000,17,023,SP,1,817800,2000,1610,8800,ETHANOL,DEU,Germany,1.61,2010,8,2010-08-01
