CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month,date
2010,6,12010090,21,245,MA,1,327600,70400,70400000,26323433,SOYBEANS,ESP,Spain,70400.0,2010,6,2010-06-01
2010,6,12010090,21,190,RS,1,1017700,53218,53216490,19430145,SOYBEANS,KOR,South Korea,53216.49,2010,6,2010-06-01
2010,7,12010090,21,160,MS,1,917800,26483,26482653,9825750,SOYBEANS,CHN,China,26482.653,2010,7,2010-07-01
2010,7,12010090,21,399,RS,1,927700,1160,1160000,457852,SOYBEANS,JPN,Japan,1160.0,2010,7,2010-07-01
2010,7,12010090,21,023,PI,1,327600,11331,11331642,4284380,SOYBEANS,DEU,Germany,11331.642,2010,7,2010-07-01
2010,5,12010090,21,245,GO,1,817800,7989,7989100,3034300,SOYBEANS,ESP,Spain,7989.1,2010,5,2010-05-01
2010,8,12010090,21,776,RS,1,1017700,61923,61923518,23629047,SOYBEANS,THA,Thailand,61923.518,2010,8,2010-08-01
2010,8,12010090,21,160,MT,1,817800,92920,92918179,36296816,SOYBEANS,CHN,China,92918.179,2010,8,2010-08-01
2010,7,12010090,21,161,RS,1,927700,669,668606,236439,SOYBEANS,TWN,Taiwan,668.606,2010,7,2010-07-01
2010,5,12010090,21,399,PR,4,817600,1,100,750,SOYBEANS,JPN,Japan,0.1,2010,5,2010-05-01
2010,3,12010090,21,573,MT,1,227600,37893,37893290,14484332,SOYBEANS,NLD,Netherlands,37893.29,2010,3,2010-03-01
2010,8,12010090,21,190,MT,1,917800,13506,13506692,4870201,SOYBEANS,KOR,South Korea,13506.692,2010,8,2010-08-01
2010,3,12010090,21,573,MT,2,210200,52712,52711520,18871571,SOYBEANS,NLD,Netherlands,52711.52,2010,3,2010-03-01
2010,5,12010090,21,676,MT,1,227600,20352,20352783,7581819,SOYBEANS,RUS,Russia,20352.783,2010,5,2010-05-01
2010,3,12010090,21,573,MT,1,817800,10042,10042057,3642883,SOYBEANS,NLD,Netherlands,10042.057,2010,3,2010-03-01
2010,5,12010090,21,190,SC,1,917800,1600,1600000,572640,SOYBEANS,KOR,South Korea,1600.0,2010,5,2010-05-01
2010,10,12010090,21,628,PR,1,917800,16398,16397875,7836804,SOYBEANS,GBR,United Kingdom,16397.875,2010,10,2010-10-01
2010,7,12010090,21,399,MT,1,927700,23172,23171974,9145978,SOYBEANS,JPN,Japan,23171.974,2010,7,2010-07-01
2010,8,12010090,21,776,TO,1,327600,13263,13263188,5552236,SOYBEANS,THA,Thailand,13263.188,2010,8,2010-08-01
2010,11,12010090,21,023,MS,1,917800,6971,6971320,3834226,SOYBEANS,DEU,Germany,6971.32,2010,11,2010-11-01
2010,12,12010090,21,776,PI,1,327600,140,139800,69658,SOYBEANS,THA,Thailand,139.8,2010,12,2010-12-01
2010,6,12010090,21,573,PA,1,327600,6985,6985001,2607710,SOYBEANS,NLD,Netherlands,6985.001,2010,6,2010-06-01
2010,5,12010090,21,573,MT,1,727600,8447,8448004,2915552,SOYBEANS,NLD,Netherlands,8448.004,2010,5,2010-05-01
2010,7,12010090,21,245,PA,1,327600,260,260000,96114,SOYBEANS,ESP,Spain,260.0,2010,7,2010-07-01
2010,11,12010090,21,776,BA,1,727600,694,693625,323181,SOYBEANS,THA,Thailand,693.625,2010,11,2010-11-01
2010,10,12010090,21,573,BA,1,727600,4200,4200000,1711542,SOYBEANS,NLD,Netherlands,4200.0,2010,10,2010-10-01
2010,10,12010090,21,399,MG,1,817800,63,62462,29429,SOYBEANS,JPN,Japan,62.462,2010,10,2010-10-01
2010,11,12010090,21,573,MT,1,917800,1000,1000000,349550,SOYBEANS,NLD,Netherlands,1000.0,2010,11,2010-11-01
2010,8,12010090,21,573,MG,1,727600,3800,3800000,1589800,SOYBEANS,NLD,Netherlands,3800.0,2010,8,2010-08-01
2010,8,12010090,21,053,MA,1,327600,27197,27197330,10513400,SOYBEANS,SAU,Saudi Arabia,27197.33,2010,8,2010-08-01
2010,3,12010090,21,160,MS,1,817800,69318,69317793,25257100,SOYBEANS,CHN,China,69317.793,2010,3,2010-03-01
