CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month,date
2010,6,23040090,21,275,PR,1,917800,38206,38206446,11444636,SOYBEAN MEAL,FRA,France,38206.446,2010,6,2010-06-01
2010,7,23040090,21,245,RS,1,1017700,58312,58310964,17051149,SOYBEAN MEAL,ESP,Spain,58310.964,2010,7,2010-07-01
2010,7,23040090,21,246,RS,1,1017700,77143,77143124,22974643,SOYBEAN MEAL,SVN,Slovenia,77143.124,2010,7,2010-07-01
2010,3,23040090,21,245,PR,1,917800,11800,11800000,3514430,SOYBEAN MEAL,ESP,Spain,11800.0,2010,3,2010-03-01
2010,5,23040090,21,776,MT,1,917800,8448,8448000,2705030,SOYBEAN MEAL,THA,Thailand,8448.0,2010,5,2010-05-01
2010,11,23040090,21,670,BA,1,517600,27866,27866854,10953902,SOYBEAN MEAL,ROU,Romania,27866.854,2010,11,2010-11-01
2010,5,23040090,21,573,MS,1,817800,1944,1944260,606295,SOYBEAN MEAL,NLD,Netherlands,1944.26,2010,5,2010-05-01
2010,10,23040090,21,538,PR,1,927700,13445,13444970,4705740,SOYBEAN MEAL,NOR,Norway,13444.97,2010,10,2010-10-01
2010,7,23040090,21,628,GO,1,817800,39439,39438710,12794193,SOYBEAN MEAL,GBR,United Kingdom,39438.71,2010,7,2010-07-01
2010,1,23040090,21,628,BA,1,517600,33871,33869999,13706502,SOYBEAN MEAL,GBR,United Kingdom,33869.999,2010,1,2010-01-01
2010,1,23040090,21,275,MT,1,917800,13779,13778512,5239390,SOYBEAN MEAL,FRA,France,13778.512,2010,1,2010-01-01
2010,10,23040090,21,190,GO,1,917800,6468,6468138,2247949,SOYBEAN MEAL,KOR,South Korea,6468.138,2010,10,2010-10-01
2010,12,23040090,21,275,PR,1,917800,56077,56077208,24736486,SOYBEAN MEAL,FRA,France,56077.208,2010,12,2010-12-01
2010,8,23040090,21,776,RS,1,1017700,67569,67568621,22586155,SOYBEAN MEAL,THA,Thailand,67568.621,2010,8,2010-08-01
2010,7,23040090,21,301,PR,1,917800,7700,7700000,2525600,SOYBEAN MEAL,GRC,Greece,7700.0,2010,7,2010-07-01
2010,5,23040090,21,190,PR,1,917800,33232,33232391,9581635,SOYBEAN MEAL,KOR,South Korea,33232.391,2010,5,2010-05-01
2010,6,23040090,21,573,GO,1,727600,84053,84051753,25637798,SOYBEAN MEAL,NLD,Netherlands,84051.753,2010,6,2010-06-01
2010,11,23040090,21,628,GO,1,817800,12560,12560310,4912869,SOYBEAN MEAL,GBR,United Kingdom,12560.31,2010,11,2010-11-01
2010,7,23040090,21,386,RS,1,1017700,9000,9000000,2671430,SOYBEAN MEAL,ITA,Italy,9000.0,2010,7,2010-07-01
2010,7,23040090,21,372,PR,1,917800,28061,28061599,8649046,SOYBEAN MEAL,IRN,Iran,28061.599,2010,7,2010-07-01
2010,3,23040090,21,275,PR,1,917800,67059,67059221,24073601,SOYBEAN MEAL,FRA,France,67059.221,2010,3,2010-03-01
2010,6,23040090,21,573,MG,1,817800,359,358550,118537,SOYBEAN MEAL,NLD,Netherlands,358.55,2010,6,2010-06-01
2010,8,23040090,21,087,MT,1,817800,17414,17412160,5920136,SOYBEAN MEAL,BEL,Belgium,17412.16,2010,8,2010-08-01
2010,11,23040090,21,275,SP,1,917800,11699,11700000,4329000,SOYBEAN MEAL,FRA,France,11700.0,2010,11,2010-11-01
2010,11,23040010,21,548,RS,1,1017700,2,2000,1840,SOYBEAN MEAL,NZL,New Zealand,2.0,2010,11,2010-11-01
2010,11,23040010,21,158,MG,7,920351,56,55960,31953,SOYBEAN MEAL,CHL,Chile,55.96,2010,11,2010-11-01
2010,7,23040090,21,190,RS,1,917800,1000,1000000,313360,SOYBEAN MEAL,KOR,South Korea,1000.0,2010,7,2010-07-01
2010,8,23040090,21,776,PR,1,917800,27478,27477645,9958998,SOYBEAN MEAL,THA,Thailand,27477.645,2010,8,2010-08-01
2010,7,23040090,21,365,RS,1,1017700,52767,52767240,16020134,SOYBEAN MEAL,IDN,Indonesia,52767.24,2010,7,2010-07-01
2010,5,23040090,21,372,SP,1,917800,8500,8500000,2388500,SOYBEAN MEAL,IRN,Iran,8500.0,2010,5,2010-05-01
2010,8,23040090,21,573,MT,1,727600,30104,30104100,10742396,SOYBEAN MEAL,NLD,Netherlands,30104.1,2010,8,2010-08-01
2010,7,23040090,21,573,BA,1,727600,3000,3000000,854070,SOYBEAN MEAL,NLD,Netherlands,3000.0,2010,7,2010-07-01
2010,5,23040090,21,245,MS,1,917800,6504,6503795,2114904,SOYBEAN MEAL,ESP,Spain,6503.795,2010,5,2010-05-01
2010,8,23040090,21,275,SP,1,917800,7500,7500000,2227500,SOYBEAN MEAL,FRA,France,7500.0,2010,8,2010-08-01
2010,10,23040090,21,087,MS,1,817800,2650,2650000,1069116,SOYBEAN MEAL,BEL,Belgium,2650.0,2010,10,2010-10-01
2010,9,23040090,21,190,PR,1,917800,30981,30980330,10772099,SOYBEAN MEAL,KOR,South Korea,30980.33,2010,9,2010-09-01
2010,4,23040090,21,365,MT,1,917800,14760,14759870,4319709,SOYBEAN MEAL,IDN,Indonesia,14759.87,2010,4,2010-04-01
2010,9,23040090,21,573,MS,1,817800,6100,6100000,2303665,SOYBEAN MEAL,NLD,Netherlands,6100.0,2010,9,2010-09-01
2010,4,23040090,21,199,GO,1,917800,11522,11522430,4139049,SOYBEAN MEAL,CUB,Cuba,11522.43,2010,4,2010-04-01
2010,4,23040090,21,628,GO,1,817800,8680,8680140,2849238,SOYBEAN MEAL,GBR,United Kingdom,8680.14,2010,4,2010-04-01
2010,2,23040090,21,245,SP,1,917800,11600,11600000,3874400,SOYBEAN MEAL,ESP,Spain,11600.0,2010,2,2010-02-01
2010,12,23040010,21,158,MG,7,920351,56,56100,26143,SOYBEAN MEAL,CHL,Chile,56.1,2010,12,2010-12-01
2010,2,23040090,21,023,BA,1,517600,30059,30058968,11157156,SOYBEAN MEAL,DEU,Germany,30058.968,2010,2,2010-02-01
2010,9,23040090,21,301,PR,1,927700,2914,2914332,1078303,SOYBEAN MEAL,GRC,Greece,2914.332,2010,9,2010-09-01
2010,2,23040090,21,017,RS,1,1017700,104,103840,49470,SOYBEAN MEAL,ALB,Albania,103.84,2010,2,2010-02-01
