CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month,date
2010,2,10019090,10,239,PR,1,917800,18576500,20075000,3036950,WHEAT,ECU,Ecuador,20075.0,2010,2,2010-02-01
2010,12,10019090,10,623,RS,1,1017700,36750,36750000,9812250,WHEAT,KEN,Kenya,36750.0,2010,12,2010-12-01
2010,11,10019090,10,770,PA,1,217602,45,230,288,WHEAT,SUR,Suriname,0.23,2010,11,2010-11-01
2010,2,10019010,10,372,PR,1,917800,4000000,4000000,611000,WHEAT,IRN,Iran,4000.0,2010,2,2010-02-01
2010,9,10019090,10,607,SP,1,817800,200,1200,1360,WHEAT,PRT,Portugal,1.2,2010,9,2010-09-01
2010,10,10019090,10,770,PA,1,217602,20,106,104,WHEAT,SUR,Suriname,0.106,2010,10,2010-10-01
2010,4,10019090,10,586,PR,7,145300,58,580,378,WHEAT,PRY,Paraguay,0.58,2010,4,2010-04-01
2010,1,10019090,10,756,RS,1,1017700,0,32127068,5606173,WHEAT,ZAF,South Africa,32127.068,2010,1,2010-01-01
2010,8,10011010,10,586,RS,7,910600,0,24000,22215,WHEAT,PRY,Paraguay,24.0,2010,8,2010-08-01
2010,12,10019090,10,586,PR,7,145300,10,118,87,WHEAT,PRY,Paraguay,0.118,2010,12,2010-12-01
2010,3,10019090,10,858,PR,1,917800,74690216,74861615,11786592,WHEAT,VNM,Vietnam,74861.615,2010,3,2010-03-01
2010,6,10011010,10,586,SC,7,910600,0,38200,29796,WHEAT,PRY,Paraguay,38.2,2010,6,2010-06-01
2010,11,10011090,10,586,SP,7,145300,24,6,59,WHEAT,PRY,Paraguay,0.006,2010,11,2010-11-01
2010,5,10019090,10,607,SP,1,817800,0,1200,1364,WHEAT,PRT,Portugal,1.2,2010,5,2010-05-01
2010,10,10019090,10,586,RE,7,910600,0,175960,36644,WHEAT,PRY,Paraguay,175.96,2010,10,2010-10-01
2010,10,10019090,10,586,PR,7,145300,15,100,128,WHEAT,PRY,Paraguay,0.1,2010,10,2010-10-01
2010,4,10019090,10,267,RS,1,1017700,0,3321616,431810,WHEAT,PHL,Philippines,3321.616,2010,4,2010-04-01
2010,11,10019090,10,127,PR,1,817800,0,300,217,WHEAT,CPV,Cape Verde,0.3,2010,11,2010-11-01
2010,2,10019090,10,858,SP,1,917800,20508830,20508830,3178869,WHEAT,VNM,Vietnam,20508.83,2010,2,2010-02-01
2010,4,10019090,10,249,RS,1,1017700,0,80778384,12737114,WHEAT,USA,United States,80778.384,2010,4,2010-04-01
2010,12,10019090,10,820,RS,1,1017700,27251,27251000,7357770,WHEAT,TUN,Tunisia,27251.0,2010,12,2010-12-01
2010,3,10019090,10,077,RS,1,1017700,3000,3000000,480000,WHEAT,BHS,Bahamas,3000.0,2010,3,2010-03-01
2010,4,10019090,10,267,PR,1,917800,100361910,103213875,15358072,WHEAT,PHL,Philippines,103213.875,2010,4,2010-04-01
2010,3,10019090,10,586,PR,7,145300,60,150,289,WHEAT,PRY,Paraguay,0.15,2010,3,2010-03-01
2010,9,10019090,10,586,PR,7,145300,80,445,427,WHEAT,PRY,Paraguay,0.445,2010,9,2010-09-01
2010,12,10019090,10,770,PA,1,217602,180,941,917,WHEAT,SUR,Suriname,0.941,2010,12,2010-12-01
2010,1,10019090,10,249,PR,1,917800,33670000,33670000,4949494,WHEAT,USA,United States,33670.0,2010,1,2010-01-01
2010,3,10019090,10,858,SP,1,917800,17628209,17916950,2786044,WHEAT,VNM,Vietnam,17916.95,2010,3,2010-03-01
2010,4,10011010,10,586,PR,7,910652,0,55000,53790,WHEAT,PRY,Paraguay,55.0,2010,4,2010-04-01
2010,2,10019090,10,372,PR,1,917800,5500000,5500000,848000,WHEAT,IRN,Iran,5500.0,2010,2,2010-02-01
2010,3,10019090,10,756,RS,1,1017700,31000,80500000,14172001,WHEAT,ZAF,South Africa,80500.0,2010,3,2010-03-01
2010,12,10019090,10,438,RS,1,1017700,48641,48639855,13749462,WHEAT,LBY,Libya,48639.855,2010,12,2010-12-01
2010,2,10019090,10,776,PR,1,917800,35787695,40782695,6428666,WHEAT,THA,Thailand,40782.695,2010,2,2010-02-01
