load_time,source_desc,year,freq_desc,reference_period_desc,begin_code,week_ending,agg_level_desc,domain_desc,state_alpha,region_desc,commodity_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domaincat_desc,class_desc,Value,coproducts
2025-04-01,SURVEY,2025,MONTHLY,JAN,1,,NATIONAL,TOTAL,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,CAPTURED,TONS,"ALCOHOL COPRODUCTS, CARBON DIOXIDE - CAPTURED, MEASURED IN TONS",NOT SPECIFIED,CARBON DIOXIDE,247417,CARBON DIOXIDE
2025-05-01,SURVEY,2025,MONTHLY,FEB,2,,NATIONAL,TOTAL,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,CAPTURED,TONS,"ALCOHOL COPRODUCTS, CARBON DIOXIDE - CAPTURED, MEASURED IN TONS",NOT SPECIFIED,CARBON DIOXIDE,217754,CARBON DIOXIDE
2025-06-02,SURVEY,2025,MONTHLY,MAR,3,,NATIONAL,TOTAL,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,CAPTURED,TONS,"ALCOHOL COPRODUCTS, CARBON DIOXIDE - CAPTURED, MEASURED IN TONS",NOT SPECIFIED,CARBON DIOXIDE,241425,CARBON DIOXIDE
2025-07-01,SURVEY,2025,MONTHLY,APR,4,,NATIONAL,TOTAL,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,CAPTURED,TONS,"ALCOHOL COPRODUCTS, CARBON DIOXIDE - CAPTURED, MEASURED IN TONS",NOT SPECIFIED,CARBON DIOXIDE,242477,CARBON DIOXIDE
2025-07-01,SURVEY,2025,MONTHLY,MAY,5,,NATIONAL,TOTAL,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,CAPTURED,TONS,"ALCOHOL COPRODUCTS, CARBON DIOXIDE - CAPTURED, MEASURED IN TONS",NOT SPECIFIED,CARBON DIOXIDE,260501,CARBON DIOXIDE
2025-04-01,SURVEY,2025,MONTHLY,JAN,1,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN DISTILLERS OIL (CDO) - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (DRY MILL PLANT),CORN DISTILLERS OIL (CDO),191648,CORN DISTILLERS OIL (CDO)
2025-05-01,SURVEY,2025,MONTHLY,FEB,2,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN DISTILLERS OIL (CDO) - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (DRY MILL PLANT),CORN DISTILLERS OIL (CDO),173128,CORN DISTILLERS OIL (CDO)
2025-06-02,SURVEY,2025,MONTHLY,MAR,3,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN DISTILLERS OIL (CDO) - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (DRY MILL PLANT),CORN DISTILLERS OIL (CDO),188359,CORN DISTILLERS OIL (CDO)
2025-07-01,SURVEY,2025,MONTHLY,APR,4,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN DISTILLERS OIL (CDO) - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (DRY MILL PLANT),CORN DISTILLERS OIL (CDO),176439,CORN DISTILLERS OIL (CDO)
2025-07-01,SURVEY,2025,MONTHLY,MAY,5,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN DISTILLERS OIL (CDO) - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (DRY MILL PLANT),CORN DISTILLERS OIL (CDO),193769,CORN DISTILLERS OIL (CDO)
2025-04-01,SURVEY,2025,MONTHLY,JAN,1,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GERM MEAL - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),CORN GERM MEAL,60250,CORN GERM MEAL
2025-05-01,SURVEY,2025,MONTHLY,FEB,2,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GERM MEAL - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),CORN GERM MEAL,52729,CORN GERM MEAL
2025-06-02,SURVEY,2025,MONTHLY,MAR,3,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GERM MEAL - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),CORN GERM MEAL,57577,CORN GERM MEAL
2025-07-01,SURVEY,2025,MONTHLY,APR,4,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GERM MEAL - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),CORN GERM MEAL,56424,CORN GERM MEAL
2025-07-01,SURVEY,2025,MONTHLY,MAY,5,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GERM MEAL - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),CORN GERM MEAL,54160,CORN GERM MEAL
2025-04-01,SURVEY,2025,MONTHLY,JAN,1,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER",253838,"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER"
2025-05-01,SURVEY,2025,MONTHLY,FEB,2,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER",229265,"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER"
2025-06-02,SURVEY,2025,MONTHLY,MAR,3,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER",260584,"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER"
2025-07-01,SURVEY,2025,MONTHLY,APR,4,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER",242134,"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER"
2025-07-01,SURVEY,2025,MONTHLY,MAY,5,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER",265970,"CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER"
2025-04-01,SURVEY,2025,MONTHLY,JAN,1,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE",204250,"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE"
2025-05-01,SURVEY,2025,MONTHLY,FEB,2,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE",176276,"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE"
2025-06-02,SURVEY,2025,MONTHLY,MAR,3,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE",197117,"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE"
2025-07-01,SURVEY,2025,MONTHLY,APR,4,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE",198188,"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE"
2025-07-01,SURVEY,2025,MONTHLY,MAY,5,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE",200541,"CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE"
2025-04-01,SURVEY,2025,MONTHLY,JAN,1,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE",104688,"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE"
2025-05-01,SURVEY,2025,MONTHLY,FEB,2,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE",98853,"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE"
2025-06-02,SURVEY,2025,MONTHLY,MAR,3,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE",109931,"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE"
2025-07-01,SURVEY,2025,MONTHLY,APR,4,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE",105539,"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE"
2025-07-01,SURVEY,2025,MONTHLY,MAY,5,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (WET MILL PLANT),"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE",109352,"CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE"
2025-04-01,SURVEY,2025,MONTHLY,JAN,1,,NATIONAL,TYPE OF OPERATION,US,,ALCOHOL COPRODUCTS,ALL UTILIZATION PRACTICES,PRODUCTION,TONS,"ALCOHOL COPRODUCTS, DISTILLERS GRAINS, DRIED, (EXCL SOLUBLES) - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION: (DRY MILL PLANT),"DISTILLERS GRAINS, DRIED, (EXCL SOLUBLES)",359299,DDG)
