CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month
2010,6,15079011,21,586,MT,7,910600,136,136120,143006,SOYBEAN OIL,PRY,Paraguay,136.12,2010,6
2010,7,15079011,21,770,MT,1,920600,99,99420,114603,SOYBEAN OIL,SUR,Suriname,99.42,2010,7
2010,1,15079090,21,586,PR,7,145300,0,99,331,SOYBEAN OIL,PRY,Paraguay,0.099,2010,1
2010,12,15079011,21,586,PR,7,910600,95,97525,130840,SOYBEAN OIL,PRY,Paraguay,97.525,2010,12
2010,12,15079011,21,850,SC,1,920600,497,497100,616172,SOYBEAN OIL,VEN,Venezuela,497.1,2010,12
2010,1,15079011,21,586,MS,7,145300,75,75117,81617,SOYBEAN OIL,PRY,Paraguay,75.117,2010,1
2010,10,15079011,21,097,ZN,4,145200,190,190515,256496,SOYBEAN OIL,BOL,Bolivia,190.515,2010,10
2010,12,15079011,21,586,MT,7,910600,75,74700,109845,SOYBEAN OIL,PRY,Paraguay,74.7,2010,12
2010,12,15079019,21,820,PR,1,917800,3060,3060000,3870900,SOYBEAN OIL,TUN,Tunisia,3060.0,2010,12
2010,5,15079011,21,589,SC,1,927700,124,124200,139026,SOYBEAN OIL,PER,Peru,124.2,2010,5
2010,7,15079011,21,815,SP,1,817800,5,4670,5447,SOYBEAN OIL,TTO,Trinidad and Tobago,4.67,2010,7
2010,12,15079011,21,586,MT,9,145300,67,66280,97621,SOYBEAN OIL,PRY,Paraguay,66.28,2010,12
2010,6,15079011,21,845,PR,7,1015500,1,1260,1428,SOYBEAN OIL,URY,Uruguay,1.26,2010,6
2010,6,15079090,21,145,SC,1,817800,5,5184,8600,SOYBEAN OIL,CMR,Cameroon,5.184,2010,6
2010,12,15079090,21,040,SP,1,817800,7,6668,11722,SOYBEAN OIL,AGO,Angola,6.668,2010,12
2010,5,15079011,21,589,MT,2,227603,447,447390,500580,SOYBEAN OIL,PER,Peru,447.39,2010,5
2010,12,15079011,21,770,SC,1,920600,167,165700,220440,SOYBEAN OIL,SUR,Suriname,165.7,2010,12
2010,8,15079011,21,589,SC,1,920600,75,74520,83871,SOYBEAN OIL,PER,Peru,74.52,2010,8
2010,2,15079011,21,770,MS,1,817800,9,8114,11319,SOYBEAN OIL,SUR,Suriname,8.114,2010,2
2010,2,15079011,21,589,SC,1,927700,423,422281,444929,SOYBEAN OIL,PER,Peru,422.281,2010,2
2010,8,15079019,21,586,PR,7,145300,0,166,195,SOYBEAN OIL,PRY,Paraguay,0.166,2010,8
2010,3,15079011,21,043,SP,1,817800,18,17719,19713,SOYBEAN OIL,ATG,Antigua and Barbuda,17.719,2010,3
2010,4,15079011,21,043,SC,1,920600,22,21922,26450,SOYBEAN OIL,ATG,Antigua and Barbuda,21.922,2010,4
2010,2,15079011,21,845,SC,7,1015500,125,124275,142650,SOYBEAN OIL,URY,Uruguay,124.275,2010,2
2010,2,15079090,21,845,SP,7,1015500,1,1472,3908,SOYBEAN OIL,URY,Uruguay,1.472,2010,2
2010,9,15079011,21,586,PR,7,145300,37,37630,46876,SOYBEAN OIL,PRY,Paraguay,37.63,2010,9
2010,4,15079090,21,888,MG,1,817800,7,6733,12197,SOYBEAN OIL,COD,Democratic Republic of the Congo,6.733,2010,4
2010,4,15079011,21,586,PR,7,910600,199,199200,198384,SOYBEAN OIL,PRY,Paraguay,199.2,2010,4
2010,6,15079011,21,586,MS,7,145300,175,175089,178150,SOYBEAN OIL,PRY,Paraguay,175.089,2010,6
2010,12,15079011,21,845,SC,7,1015500,250,250540,347304,SOYBEAN OIL,URY,Uruguay,250.54,2010,12
2010,3,15079011,21,845,RS,9,1010955,0,0,192,SOYBEAN OIL,URY,Uruguay,0.0,2010,3
2010,3,15079011,21,586,PR,7,910600,137,136950,144997,SOYBEAN OIL,PRY,Paraguay,136.95,2010,3
2010,8,15079011,21,845,GO,9,1010955,0,0,48,SOYBEAN OIL,URY,Uruguay,0.0,2010,8
2010,10,15079019,21,845,PR,7,1015500,560,560000,544880,SOYBEAN OIL,URY,Uruguay,560.0,2010,10
2010,7,15079011,21,337,MT,1,817800,75,75116,70320,SOYBEAN OIL,GUY,Guyana,75.116,2010,7
2010,6,15079090,21,845,SP,7,1015500,1,1748,5018,SOYBEAN OIL,URY,Uruguay,1.748,2010,6
2010,5,15079011,21,235,SC,1,920600,25,24855,29340,SOYBEAN OIL,DMA,Dominica Island,24.855,2010,5
2010,11,15079019,21,770,PA,1,217602,2,14,13,SOYBEAN OIL,SUR,Suriname,0.014,2010,11
2010,12,15079011,21,845,SP,7,1010252,158,158479,221785,SOYBEAN OIL,URY,Uruguay,158.479,2010,12
