Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
CORN,2009-09-03,1,01-S,2010,CANADA,22093,22093,251277,181001,35621,273370,0,0,1
CORN,2009-09-03,1,01-S,2010,MEXICO,80117,80117,1822896,348669,209336,1903013,32400,0,1
CORN,2009-09-03,1,01-S,2010,GUATEMALA,0,0,394910,91826,28448,394910,0,0,1
CORN,2009-09-03,1,01-S,2010,HONDURAS,0,0,96686,2858,2058,96686,0,0,1
CORN,2009-09-03,1,01-S,2010,NICARAGUA,0,0,8700,0,0,8700,0,0,1
CORN,2009-09-03,1,01-S,2010,COSTA RICA,0,0,71324,2700,2700,71324,0,0,1
CORN,2009-09-03,1,01-S,2010,PANAMA,0,0,99030,0,0,99030,0,0,1
CORN,2009-09-03,1,01-S,2010,CUBA,0,0,200000,50000,0,200000,0,0,1
CORN,2009-09-03,1,01-S,2010,JAMAICA,0,0,57563,0,0,57563,0,0,1
CORN,2009-09-03,1,01-S,2010,DOMINICAN REPUBLIC,0,0,196760,91490,16300,196760,10000,0,1
CORN,2009-09-03,1,01-S,2010,LEEWARD-WINDWARD ISLANDS,0,0,1750,1050,1050,1750,0,0,1
CORN,2009-09-03,1,01-S,2010,BARBADOS,0,0,6054,1500,1500,6054,0,0,1
CORN,2009-09-03,1,01-S,2010,TRINIDAD AND TOBAGO,0,0,15000,6000,0,15000,0,0,1
CORN,2009-09-03,1,01-S,2010,FRENCH WEST INDIES,0,0,17150,9650,3000,17150,0,0,1
CORN,2009-09-03,1,01-S,2010,COLOMBIA,0,0,582334,354071,39555,582334,0,0,1
CORN,2009-09-03,1,01-S,2010,VENEZUELA,25500,25500,28244,53744,53744,53744,0,0,1
CORN,2009-09-03,1,01-S,2010,ECUADOR,0,0,45000,0,0,45000,0,0,1
CORN,2009-09-03,1,01-S,2010,PERU,23510,23510,217500,160010,78010,241010,0,0,1
CORN,2009-09-03,1,01-S,2010,UNITED KINGDOM,0,0,190,190,0,190,0,0,1
CORN,2009-09-03,1,01-S,2010,SPAIN,0,0,80,80,0,80,0,0,1
CORN,2009-09-03,1,01-S,2010,SYRIA,60000,60000,50000,25000,-35000,110000,0,0,1
CORN,2009-09-03,1,01-S,2010,VIETNAM,0,0,5582,5582,0,5582,0,0,1
CORN,2009-09-03,1,01-S,2010,MALAYSIA,178,178,2997,168,0,3175,0,0,1
CORN,2009-09-03,1,01-S,2010,INDONESIA,0,0,1397,1397,1000,1397,0,0,1
CORN,2009-09-03,1,01-S,2010,"KOREA, REPUBLIC OF",57750,57750,1633291,291076,62750,1691041,0,0,1
CORN,2009-09-03,1,01-S,2010,HONG KONG,0,0,1461,1167,367,1461,0,0,1
CORN,2009-09-03,1,01-S,2010,TAIWAN,4272,4272,487923,385903,1540,492195,0,0,1
CORN,2009-09-03,1,01-S,2010,JAPAN,88950,88950,2595121,2026034,232146,2684071,0,0,1
CORN,2009-09-03,1,01-S,2010,"OTHER PACIFIC ISLANDS, NEC",0,0,1640,1640,0,1640,0,0,1
CORN,2009-09-03,1,01-S,2010,MOROCCO,17997,17997,49939,19939,-3,67936,0,0,1
CORN,2009-09-03,1,01-S,2010,ALGERIA,26447,26447,0,26447,1447,26447,0,0,1
CORN,2009-09-03,1,01-S,2010,TUNISIA,0,0,20000,20000,0,20000,0,0,1
CORN,2009-09-03,1,01-S,2010,EGYPT,130136,130136,487789,190136,96046,617925,0,0,1
CORN,2009-09-03,1,01-S,2010,UNKNOWN,0,0,2681852,621414,193838,2681852,0,0,1
CORN,2009-09-10,2,01-S,2010,CANADA,21121,43214,245307,15173,15151,288521,0,0,1
CORN,2009-09-10,2,01-S,2010,MEXICO,143545,223662,1839601,165669,160250,2063263,32400,0,1
CORN,2009-09-10,2,01-S,2010,GUATEMALA,18859,18859,368893,23977,-7158,387752,0,0,1
CORN,2009-09-10,2,01-S,2010,EL SALVADOR,16589,16589,0,505,16589,16589,0,0,1
CORN,2009-09-10,2,01-S,2010,HONDURAS,12319,12319,84646,279,279,96965,0,0,1
CORN,2009-09-10,2,01-S,2010,NICARAGUA,4718,4718,8700,0,4718,13418,0,0,1
CORN,2009-09-10,2,01-S,2010,COSTA RICA,2775,2775,91324,22775,22775,94099,0,0,1
CORN,2009-09-10,2,01-S,2010,PANAMA,9411,9411,104030,5000,14411,113441,0,0,1
CORN,2009-09-10,2,01-S,2010,CUBA,26068,26068,175000,1068,1068,201068,0,0,1
CORN,2009-09-10,2,01-S,2010,JAMAICA,0,0,58563,1000,1000,58563,0,0,1
CORN,2009-09-10,2,01-S,2010,DOMINICAN REPUBLIC,0,0,228930,32170,32170,228930,10000,0,1
CORN,2009-09-10,2,01-S,2010,LEEWARD-WINDWARD ISLANDS,600,600,1750,100,600,2350,0,0,1
CORN,2009-09-10,2,01-S,2010,BARBADOS,4386,4386,1668,0,0,6054,0,0,1
CORN,2009-09-10,2,01-S,2010,TRINIDAD AND TOBAGO,0,0,19700,4700,4700,19700,0,0,1
CORN,2009-09-10,2,01-S,2010,FRENCH WEST INDIES,6541,6541,10500,0,-109,17041,0,0,1
CORN,2009-09-10,2,01-S,2010,COLOMBIA,17370,17370,579615,15651,14651,596985,0,0,1
CORN,2009-09-10,2,01-S,2010,VENEZUELA,27812,53312,27100,27100,26668,80412,0,0,1
CORN,2009-09-10,2,01-S,2010,ECUADOR,0,0,45000,0,0,45000,0,0,1
CORN,2009-09-10,2,01-S,2010,PERU,45970,69480,202500,8970,30970,271980,0,0,1
CORN,2009-09-10,2,01-S,2010,UNITED KINGDOM,0,0,190,0,0,190,0,0,1
CORN,2009-09-10,2,01-S,2010,SPAIN,40,40,40,0,0,80,0,0,1
CORN,2009-09-10,2,01-S,2010,SYRIA,0,60000,50000,0,0,110000,0,0,1
CORN,2009-09-10,2,01-S,2010,VIETNAM,4039,4039,1743,200,200,5782,0,0,1
CORN,2009-09-10,2,01-S,2010,MALAYSIA,764,942,4233,2000,2000,5175,0,0,1
CORN,2009-09-10,2,01-S,2010,INDONESIA,0,0,1397,0,0,1397,0,0,1
CORN,2009-09-10,2,01-S,2010,"KOREA, REPUBLIC OF",116096,173846,1785526,268371,268331,1959372,0,0,1
CORN,2009-09-10,2,01-S,2010,HONG KONG,613,613,1235,387,387,1848,0,0,1
CORN,2009-09-10,2,01-S,2010,TAIWAN,88367,92639,625580,228774,226024,718219,0,0,1
CORN,2009-09-10,2,01-S,2010,JAPAN,448102,537052,2397679,174175,250660,2934731,0,0,1
CORN,2009-09-10,2,01-S,2010,"OTHER PACIFIC ISLANDS, NEC",0,0,1640,0,0,1640,0,0,1
CORN,2009-09-10,2,01-S,2010,MOROCCO,14306,32303,49939,0,14306,82242,0,0,1
CORN,2009-09-10,2,01-S,2010,ALGERIA,0,26447,0,0,0,26447,0,0,1
CORN,2009-09-10,2,01-S,2010,TUNISIA,22135,22135,0,2135,2135,22135,0,0,1
CORN,2009-09-10,2,01-S,2010,EGYPT,109911,240047,382139,4261,4261,622186,0,0,1
CORN,2009-09-10,2,01-S,2010,UNKNOWN,0,0,2540402,50800,-141450,2540402,0,0,1
CORN,2009-09-17,3,01-S,2010,CANADA,15979,59193,236497,27478,7169,295690,0,0,1
CORN,2009-09-17,3,01-S,2010,MEXICO,180946,404608,2108785,452380,450130,2513393,32400,0,1
CORN,2009-09-17,3,01-S,2010,GUATEMALA,34845,53704,326333,11049,-7715,380037,0,0,1
CORN,2009-09-17,3,01-S,2010,EL SALVADOR,14200,30789,0,2200,14200,30789,0,0,1
CORN,2009-09-17,3,01-S,2010,HONDURAS,0,12319,91846,7200,7200,104165,0,0,1
CORN,2009-09-17,3,01-S,2010,NICARAGUA,0,4718,8700,0,0,13418,0,0,1
CORN,2009-09-17,3,01-S,2010,COSTA RICA,6687,9462,91324,0,6687,100786,0,0,1
CORN,2009-09-17,3,01-S,2010,PANAMA,0,9411,117380,13350,13350,126791,0,0,1
CORN,2009-09-17,3,01-S,2010,CUBA,0,26068,175000,0,0,201068,0,0,1
CORN,2009-09-17,3,01-S,2010,JAMAICA,15636,15636,61363,18500,18436,76999,0,0,1
CORN,2009-09-17,3,01-S,2010,DOMINICAN REPUBLIC,10989,10989,221361,3420,3420,232350,10000,0,1
CORN,2009-09-17,3,01-S,2010,LEEWARD-WINDWARD ISLANDS,0,600,1750,0,0,2350,0,0,1
CORN,2009-09-17,3,01-S,2010,BARBADOS,0,4386,4668,3000,3000,9054,0,0,1
CORN,2009-09-17,3,01-S,2010,TRINIDAD AND TOBAGO,6600,6600,16100,3000,3000,22700,0,0,1
CORN,2009-09-17,3,01-S,2010,FRENCH WEST INDIES,0,6541,11500,1000,1000,18041,0,0,1
CORN,2009-09-17,3,01-S,2010,COLOMBIA,44020,61390,536929,52972,1334,598319,0,0,1
CORN,2009-09-17,3,01-S,2010,VENEZUELA,0,53312,37400,10300,10300,90712,0,0,1
CORN,2009-09-17,3,01-S,2010,ECUADOR,0,0,45000,0,0,45000,0,0,1
CORN,2009-09-17,3,01-S,2010,PERU,0,69480,207500,5000,5000,276980,0,0,1
CORN,2009-09-17,3,01-S,2010,UNITED KINGDOM,0,0,190,0,0,190,0,0,1
CORN,2009-09-17,3,01-S,2010,SPAIN,200,240,340,500,500,580,0,0,1
CORN,2009-09-17,3,01-S,2010,SYRIA,0,60000,50000,0,0,110000,0,0,1
CORN,2009-09-17,3,01-S,2010,SAUDI ARABIA,47376,47376,0,1376,47376,47376,0,0,1
CORN,2009-09-17,3,01-S,2010,VIETNAM,157,4196,2286,700,700,6482,0,0,1
CORN,2009-09-17,3,01-S,2010,MALAYSIA,0,942,4233,0,0,5175,0,0,1
CORN,2009-09-17,3,01-S,2010,INDONESIA,325,325,1072,0,0,1397,0,0,1
CORN,2009-09-17,3,01-S,2010,"KOREA, REPUBLIC OF",235467,409313,1570030,89918,19971,1979343,0,0,1
CORN,2009-09-17,3,01-S,2010,HONG KONG,760,1373,915,440,440,2288,0,0,1
CORN,2009-09-17,3,01-S,2010,TAIWAN,36988,129627,603862,16070,15270,733489,0,0,1
CORN,2009-09-17,3,01-S,2010,JAPAN,276960,814012,2173884,61122,53165,2987896,0,0,1
CORN,2009-09-17,3,01-S,2010,"OTHER PACIFIC ISLANDS, NEC",380,380,1260,0,0,1640,0,0,1
