Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANS,2009-09-03,1,01-S,2010,CANADA,1674,1674,80066,55652,29457,81740,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,MEXICO,1111,1111,566802,21911,551,567913,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,GUATEMALA,0,0,19000,8568,6528,19000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,COSTA RICA,0,0,16500,7500,0,16500,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,PANAMA,0,0,544,544,0,544,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,CUBA,0,0,29272,29272,0,29272,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,DOMINICAN REPUBLIC,0,0,18000,18000,0,18000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,BARBADOS,0,0,6000,2500,2500,6000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,COLOMBIA,0,0,63224,59224,0,63224,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,VENEZUELA,0,0,2448,2448,0,2448,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,PERU,0,0,33000,33000,0,33000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,FINLAND,0,0,113,113,113,113,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,UNITED KINGDOM,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,IRELAND,0,0,6000,6000,0,6000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,NETHERLANDS,0,0,58000,0,0,58000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,SWITZERLAND,0,0,5000,0,0,5000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,SPAIN,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,ITALY,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,TURKEY,0,0,18000,0,0,18000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,SYRIA,0,0,34773,34773,25000,34773,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,IRAN,0,0,63000,0,0,63000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,THAILAND,0,0,139324,14124,0,139324,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,VIETNAM,767,767,6233,7000,0,7000,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,MALAYSIA,0,0,12824,2822,822,12824,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,SINGAPORE,0,0,8500,6000,0,8500,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,INDONESIA,3259,3259,126523,101780,3500,129782,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,PHILIPPINES,0,0,3450,0,0,3450,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,"CHINA, PEOPLES REPUBLIC OF",183880,183880,10174284,1513902,397902,10358164,9000,0,1
SOYBEANS,2009-09-03,1,01-S,2010,"KOREA, REPUBLIC OF",0,0,61544,13544,544,61544,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,TAIWAN,1863,1863,369602,344540,127308,371465,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,JAPAN,1241,1241,706281,460324,41329,707522,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,MOROCCO,0,0,26500,26500,0,26500,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,EGYPT,0,0,148747,88747,50000,148747,0,0,1
SOYBEANS,2009-09-03,1,01-S,2010,UNKNOWN,0,0,3963858,251857,145000,3963858,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,CANADA,2881,4555,79078,1893,1893,83633,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,MEXICO,29093,30204,571924,42651,34215,602128,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,GUATEMALA,0,0,21040,2040,2040,21040,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,COSTA RICA,0,0,26000,9500,9500,26000,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,PANAMA,0,0,544,0,0,544,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,CUBA,0,0,29272,0,0,29272,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,DOMINICAN REPUBLIC,0,0,18000,0,0,18000,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,BARBADOS,3548,3548,2500,48,48,6048,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,COLOMBIA,0,0,73174,9950,9950,73174,0,0,1
