Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,CANADA,4653,4653,376709,63372,24204,381362,15355,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,MEXICO,0,0,136958,87454,29873,136958,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,GUATEMALA,0,0,83549,8827,5642,83549,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,BELIZE,0,0,500,0,0,500,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,HONDURAS,0,0,30350,1200,903,30350,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,NICARAGUA,0,0,3700,0,0,3700,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,PANAMA,0,0,38553,4557,4557,38553,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,JAMAICA,0,0,29000,0,0,29000,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,DOMINICAN REPUBLIC,0,0,134740,104740,1150,134740,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,LEEWARD-WINDWARD ISLANDS,0,0,200,0,0,200,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,TRINIDAD AND TOBAGO,0,0,4200,2200,-800,4200,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,FRENCH WEST INDIES,0,0,12000,0,0,12000,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,COLOMBIA,0,0,81842,58192,850,81842,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,VENEZUELA,0,0,9000,9000,0,9000,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,PERU,0,0,52000,7200,1700,52000,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,UNITED KINGDOM,0,0,33000,0,0,33000,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,IRELAND,0,0,67000,67000,0,67000,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,FRANCE,0,0,20500,0,0,20500,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,GERMANY,0,0,33000,0,0,33000,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,TURKEY,0,0,63000,0,0,63000,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,THAILAND,0,0,4100,3800,1000,4100,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,VIETNAM,0,0,27011,11011,0,27011,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,MALAYSIA,0,0,1525,1525,0,1525,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,SINGAPORE,0,0,330,330,330,330,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,INDONESIA,0,0,54418,13418,4000,54418,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,PHILIPPINES,0,0,266550,71050,2300,266550,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,"CHINA, PEOPLES REPUBLIC OF",0,0,4993,4993,0,4993,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,"KOREA, REPUBLIC OF",0,0,55000,0,0,55000,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,HONG KONG,0,0,1286,1186,99,1286,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,JAPAN,23,23,37781,26304,23,37804,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,AUSTRALIA,0,0,54526,0,0,54526,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,"OTHER PACIFIC ISLANDS, NEC",280,280,640,920,0,920,0,0,1
SOYBEANCAKE&MEAL,2009-10-01,1,01-O,2010,UNKNOWN,0,0,1292000,55500,47500,1292000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,CANADA,21751,26404,365339,10640,10381,391743,15459,104,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,MEXICO,16550,16550,137003,16339,16595,153553,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,GUATEMALA,0,0,96016,12467,12467,96016,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,BELIZE,0,0,500,0,0,500,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,HONDURAS,0,0,22800,450,-7550,22800,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,NICARAGUA,2565,2565,1100,0,-35,3665,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,PANAMA,0,0,39453,1500,900,39453,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,JAMAICA,4999,4999,24000,0,-1,28999,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,DOMINICAN REPUBLIC,0,0,139740,5000,5000,139740,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,LEEWARD-WINDWARD ISLANDS,0,0,200,0,0,200,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,TRINIDAD AND TOBAGO,0,0,4200,0,0,4200,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,FRENCH WEST INDIES,0,0,12000,0,0,12000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,COLOMBIA,0,0,81842,0,0,81842,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,VENEZUELA,6000,6000,5000,2000,2000,11000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,SURINAM,0,0,1200,1200,1200,1200,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,PERU,0,0,52000,0,0,52000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,UNITED KINGDOM,0,0,33000,0,0,33000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,IRELAND,0,0,67000,0,0,67000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,FRANCE,0,0,20500,0,0,20500,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,GERMANY,0,0,33000,0,0,33000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,TURKEY,0,0,63000,0,0,63000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,SYRIA,0,0,22500,22500,22500,22500,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,BANGLADESH,0,0,31,31,31,31,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,THAILAND,0,0,5400,1300,1300,5400,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,VIETNAM,298,298,32366,5655,5653,32664,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,MALAYSIA,0,0,10800,9275,9275,10800,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,SINGAPORE,0,0,330,0,0,330,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,INDONESIA,0,0,55468,1050,1050,55468,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,PHILIPPINES,43733,43733,230668,7851,7851,274401,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,"CHINA, PEOPLES REPUBLIC OF",476,476,4517,0,0,4993,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,"KOREA, REPUBLIC OF",0,0,55000,0,0,55000,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,HONG KONG,115,115,1267,96,96,1382,0,0,1
SOYBEANCAKE&MEAL,2009-10-08,2,01-O,2010,JAPAN,5090,5113,61546,25876,28855,66659,0,0,1
