Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANOIL,2009-10-01,1,01-O,2010,CANADA,0,0,8086,8086,0,8086,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,MEXICO,256,256,52044,19316,770,52300,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,GUATEMALA,0,0,1321,1321,0,1321,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,HONDURAS,0,0,19,19,0,19,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,NICARAGUA,0,0,2400,2400,0,2400,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,PANAMA,0,0,394,394,0,394,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,CUBA,0,0,7790,7790,0,7790,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,JAMAICA,0,0,6168,6168,0,6168,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,HAITI,0,0,7773,7773,23,7773,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,DOMINICAN REPUBLIC,0,0,17463,10113,10000,17463,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,LEEWARD-WINDWARD ISLANDS,0,0,25,25,0,25,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,BARBADOS,0,0,15,15,0,15,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,TRINIDAD AND TOBAGO,39,39,762,801,39,801,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,NETHERLANDS ANTILLES,0,0,17,17,0,17,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,COLOMBIA,0,0,6490,5740,0,6490,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,VENEZUELA,0,0,12000,0,0,12000,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,PERU,0,0,16451,1500,1500,16451,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,CYPRUS,0,0,46,46,0,46,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,LEBANON,0,0,132,132,0,132,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,SAUDI ARABIA,0,0,1881,1881,0,1881,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,QATAR,0,0,20,20,0,20,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,MALAYSIA,0,0,4000,4000,4000,4000,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,INDONESIA,0,0,264,264,0,264,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,"CHINA, PEOPLES REPUBLIC OF",0,0,52,52,0,52,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,HONG KONG,0,0,38,38,0,38,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,AUSTRALIA,0,0,485,485,0,485,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,MOROCCO,0,0,38000,38000,15000,38000,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,TUNISIA,0,0,12000,12000,12000,12000,0,0,1
SOYBEANOIL,2009-10-01,1,01-O,2010,UNKNOWN,0,0,387750,67750,5000,387750,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,CANADA,403,403,8049,366,366,8452,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,MEXICO,1360,1616,51820,1136,1136,53436,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,GUATEMALA,1300,1300,40,19,19,1340,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,HONDURAS,0,0,38,19,19,38,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,NICARAGUA,0,0,5400,3000,3000,5400,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,PANAMA,46,46,348,0,0,394,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,CUBA,0,0,12790,5000,5000,12790,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,JAMAICA,0,0,6168,0,0,6168,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,HAITI,0,0,8273,500,500,8273,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,DOMINICAN REPUBLIC,113,113,17900,550,550,18013,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,LEEWARD-WINDWARD ISLANDS,0,0,25,0,0,25,0,0,1
